,TRIBECA_ID,NUMBER_ALARMS,LATITUDE,LONGITUDE,ADDRESS,ICON
0,832759,2,28.330225,-81.353279,308 Lariat Ln,home
1,854673,4,33.683311,-84.755806,5545 Dorsett Shoals Ln,home
2,141366,1,35.338819,-80.880445,3910 Hunter Hill Ln,home
3,865247,1,33.423111,-111.743584,4041 E Caballero St,home
4,685593,1,33.497211,-84.405373,431 Thomas Downs Way,home
5,899003,1,28.690725,-81.516098,213 Moonbeam Rd,home
6,763414,6,36.258827,-115.147049,425 Orchid Oasis Ave,home
7,688227,1,33.71172,-84.301498,2175 CLANTON Terrace,home
8,746232,19,33.670567,-84.235809,3796 Holy Cross Dr,home
9,157572,1,29.951504,-95.487116,3907 Ebury Dr,home
10,691329,1,33.669773,-84.21347,3826 Dogwood Farm Rd,home
11,774425,6,30.045544,-81.799988,3214 Katys Ct,home
12,677460,1,28.033434,-81.915283,856 Buttercup Dr,home
13,733498,1,35.233471,-89.496819,15 Rolling Oaks Dr,home
14,235798,7,33.4273968,-84.1326161,2005 Towne Park Dr,home
15,693274,1,29.493402,-98.364578,4931 Dahlia Ter,home
16,3426756,1,30.470326,-81.6480922,13271 Shore Grass Dr,home
17,509869,1,36.2424263,-86.6668339,1540 Joe Pyron Dr,home
18,337009,2,28.665327,-81.454147,3183 Tobago Ct,home
19,152580,1,27.801118,-82.304035,12026 Bridge Point Ln,home
20,688937,6,26.677801,-81.664772,2506 66th ST W,home
21,687419,1,39.798859,-85.740005,958 Streamside Dr,home
22,799249,12,35.03484,-89.821869,7238 N Bay Cv,home
23,1023795,2,35.074738,-80.622337,3410 Arbor Pointe Dr,home
24,1129689,2,36.312088,-115.304588,9515 Havasu Canyon Ave,home
25,1001824,1,33.238743,-97.093971,2525 Craig Ln,home
26,842330,6,30.185028,-81.811935,2995 Thorncrest Dr,home
27,915843,1,27.817629,-82.333809,12234 Dawn Vista Dr,home
28,956904,1,27.904291,-82.372101,7342 Spring Snowflake Ave,home
29,644920,1,28.11438,-81.445885,749 Palaiseau Ct,home
30,681810,1,36.056629,-86.544731,346 Clearlake Dr,home
31,598973,3,33.511452,-112.330017,12529 W COLTER ST,home
32,1028503,1,35.239895,-80.657776,12239 Stewarts Crossing Dr,home
33,582989,2,33.351467,-112.425186,10431 S 175th Ave,home
34,121775,2,32.6181683,-97.3954431,8509 Saffron Dr,home
35,809014,13,40.051609,-83.162758,4908 Wallington Dr,home
36,150972,2,26.134363,-80.279944,848 NW 98th Ave,home
37,845123,14,27.849165,-82.226204,5608 Tanagergrove Way,home
38,850580,17,33.457951,-84.439651,540 Hillsdale Dr,home
39,714941,1,30.345312,-81.592667,6227 Pine Summit Dr,home
40,745308,2,39.885799,-86.23616,4430 Autumn Crest Ct,home
41,161970,1,33.731473,-84.887271,1118 Carrington Pkwy,home
42,611113,1,33.676689,-112.144379,3920 W Rose Garden Ln,home
43,794579,7,29.538671,-98.724327,10322 Quayle Mist,home
44,688216,1,33.592171,-84.262283,5946 Country Ct,home
45,553325,1,36.224064,-115.192719,3927 Blue Coral Dr,home
46,681549,1,35.577896,-97.632698,10616 Basswood Canyon Rd,home
47,776596,3,29.917891,-95.066292,406 Annatto Ln,home
48,169972,5,34.0875614,-83.8658404,5210 Cedar Shoals Dr,home
49,196545,1,36.0815265,-115.036074,5928 Aimless St,home
50,659080,8,33.477215,-112.217163,7338 W Cambridge Ave,home
51,325296,7,36.23621,-115.24974,4124 Glenfield Cir,home
52,637985,1,33.688408,-84.675232,3063 Lonetree Point,home
53,897246,7,29.820742,-95.787079,3235 Thicket Path Way,home
54,689897,1,33.442387,-84.181946,196 Sherwood Loop,home
55,273389,6,36.051236,-115.0368218,324 Desert Knolls St,home
56,685414,18,33.661488,-84.811165,5326 Highway 5,home
57,3426291,3,30.186239,-81.832084,227 Sweet Lemon Lane,home
58,680234,1,34.990093,-89.81646,9213 Gavin Dr,home
59,3427356,1,30.184884,-81.8347019,545 Cherry Ridge Drive,home
60,332572,1,33.41416,-112.17505,5334 W Warner St,home
61,834126,4,33.185017,-111.601875,3341 W Yellow Peak Dr,home
62,691283,1,33.77174,-84.767181,1084 Abington Ct,home
63,681598,33,35.329048,-97.467232,1401 SE 10th St,home
64,792558,2,30.186733,-81.80555,3298 Deerfield Pointe Dr,home
65,531532,3,28.50514,-81.238739,10263 Andover Point Cir,home
66,306460,5,33.336572,-111.7430675,2182 E Arabian Dr,home
67,818881,1,39.910454,-82.830055,6311 Fence Row Ln,home
68,976796,1,33.99003,-83.98171,1137 Sunny Lake Dr,home
69,716068,25,32.620716,-97.420387,6113 Hornwood Dr,home
70,315581,6,36.02108,-114.97029,477 Painted Sage Ct,home
71,658991,9,32.642563,-97.107269,426 Revolution Ln,home
72,307158,1,35.650539,-78.385496,21 Valleyfield Drive,home
73,912957,3,29.9197147,-97.8435736,170 Rosetta Rd,home
74,709505,27,33.577038,-83.869652,8116 Amanda Ln,home
75,649734,6,33.28358,-96.98789,334 Highmeadow Rd,home
76,952405,4,29.488665,-98.353333,6914 Cutting Crk,home
77,776010,2,33.392178,-84.68499,95 Crawford Cir,home
78,234539,6,32.6697069,-97.2176439,7002 Cadillac Blvd,home
79,683979,1,30.066198,-95.389694,2438 Autumn Springs Ln,home
80,406929,5,35.707411,-86.919648,3625 Rutherford Dr,home
81,553611,13,33.303841,-111.737152,2456 E Vermont Dr,home
82,322392,2,33.731059,-84.1287745,6384 Phillips Creek Drive,home
83,678525,3,34.197987,-83.877907,4272 Falcon Crest Dr,home
84,132465,12,40.068517,-85.987694,10207 Carmine Dr,home
85,336231,7,33.1386575,-111.5138642,4859 E Rhodium Dr,home
86,679338,2,39.726555,-86.031273,2920 Wolfgang Dr,home
87,977253,1,27.727345,-82.406013,962 Kelly Fern Loop,home
88,503272,1,35.0351807,-89.8104017,7585 Shelby Cross Cir,home
89,307679,3,32.617616,-97.361302,2800 Adams Fall Lane,home
90,690725,5,33.728737,-84.22953,3880 Wedgefield Circle,home
91,686911,1,30.073317,-81.442276,781 Rembrandt Ave,home
92,683349,5,32.643848,-97.093895,6306 Twin Maple Ct,home
93,328062,18,32.5809827,-96.8404809,789 Eldorado Drive,home
94,714498,1,30.297813,-81.731972,1339 Labelle St,home
95,171207,9,34.044859,-84.781004,474 Cleburne Pl,home
96,685335,8,33.703293,-84.280441,2850 Norgate Ln,home
97,685679,6,33.73645,-84.160645,1893 GINGHAM Way,home
98,679479,3,39.781246,-85.959602,11613 Whidbey Dr,home
99,689028,1,25.912268,-80.246674,2821 NW 151st Terrace,home
100,679858,2,38.80616,-94.514359,500 Fall Creek Drive,home
101,839814,15,30.044491,-95.591431,19402 Garden Pool Ln,home
102,135032,1,35.201941,-89.739581,9703 Java Cv,home
103,533677,1,28.6795031,-81.5358368,542 Lake Doe Blvd,home
104,669312,6,32.57996,-96.927826,916 Richards Dr,home
105,540564,2,39.9192793,-83.0995236,1700 Golden Cloud Ln,home
106,665185,11,30.288973,-81.775299,1716 Spring Star Ct,home
107,683326,1,32.676247,-97.214546,6702 Blackberry Dr,home
108,259411,8,35.3592892,-80.7840756,5032 Stone Park Dr,home
109,687639,1,35.281525,-80.862152,1707 Mcallister Dr,home
110,681258,1,39.885201,-82.971039,1024 Esther Dr,home
111,3428002,3,28.204651,-82.678112,3161 Pinnacle Peak Drive,home
112,775175,1,30.464596,-81.610832,1035 Morning Light Rd,home
113,248946,8,35.8510944,-86.4626916,805 Creek Oak Dr,home
114,947951,1,32.052406,-110.6987,13875 E Silver Pine Trl,home
115,811524,1,33.693256,-112.333046,12645 W Sola Dr,home
116,128130,21,29.9627536,-95.5597927,13054 Rose Landing Dr,home
117,756552,1,36.1842,-86.846245,3332 Hospital Ln,home
118,666603,1,33.19976,-96.98114,8824 Tenderfoot Ln,home
119,856085,1,35.740238,-78.60524,3000 Basswood Dr,home
120,318719,25,32.5741161,-96.9241211,1112 Witherspoon Rd,home
121,764826,1,28.493994,-81.252571,9590 Elm Forest Ln,home
122,101866,1,33.928705,-83.951955,1135 Brook Meadow Ct,home
123,324857,23,30.45574,-81.59959,1606 Creek Point Blvd,home
124,306205,1,33.6340689,-112.30479,11349 W Loma Blanca Drive,home
125,678237,1,33.825359,-84.672424,5380 Springbrook Dr SW,home
126,100406,1,30.2050954,-81.7793461,7749 Westport Bay Dr,home
127,173821,11,30.089985,-81.5917149,140 Mahogany Bay Dr,home
128,678805,2,33.60601,-84.44012,5484 Northcut Dr,home
129,101121,1,28.248914,-81.470166,4711 Hardy Mills St,home
130,92170,25,35.970318,-115.113025,2861 Matese Dr,home
131,661961,6,30.181364,-81.816895,3285 Highland Mill Ln,home
132,147967,2,32.545017,-97.35029,800 Sierra Cir,home
133,621353,1,27.794054,-82.326729,13114 Fennway Ridge Dr,home
134,521444,1,35.2791245,-80.6665693,9905 Holly Tree Dr,home
135,578286,1,36.22514,-86.825104,4112 Meadow Hill Drive,home
136,885050,18,27.823025,-82.372154,12129 Fox Bloom Ave,home
137,775980,2,33.931507,-83.910248,1374 Ivey Pointe Dr,home
138,272662,2,33.3680436,-84.3527772,111 Galway Lane,home
139,323751,13,33.5871414,-84.570184,5550 Union Pointe Place,home
140,320543,2,35.2914256,-80.8742943,4834 Hopewood Lane,home
141,122936,2,27.779329,-82.36955,7426 Oxford Garden Cir,home
142,1044566,1,30.360502,-81.574989,3347 Net Ct,home
143,315397,3,36.3753171,-86.7247601,3005 Creekview Ln,home
144,167055,1,30.180172,-81.828343,3867 Pebble Brooke Cir,home
145,986761,7,36.249298,-115.129051,4917 Stormy Ridge St,home
146,230317,27,36.276209,-86.618727,128 Candle Wood Dr,home
147,129395,5,33.429032,-112.31715,12013 W Apache St,home
148,502947,2,33.3850924,-112.1528252,4337 W St Kateri Dr,home
149,2702877,8,36.2407864,-115.2542391,7305 BUSH GARDEN AVE,home
150,683547,1,32.622894,-97.284294,2613 Crix Ln,home
151,684712,1,33.840858,-84.626549,4641 Flint Hill Rd,home
152,668474,3,33.598534,-112.323944,12238 W Flores Dr,home
153,518124,1,33.2377138,-97.1006911,2704 Liam Dr,home
154,330369,1,33.565189,-84.47139,7095 E Village Ct,home
155,138349,12,36.2640079,-115.212999,5116 Ruffled Grouse Ct,home
156,730625,6,36.26062,-86.528526,408 Yvonne Ct,home
157,823280,1,29.619907,-95.199272,13003 Garlenda Ln,home
158,802675,12,29.994776,-95.168655,7210 Maple Walk Dr,home
159,150060,2,35.9698319,-86.559128,403 Mountain View Ct,home
160,320403,2,36.26636,-115.1775,2606 Tropical Sands Ave,home
161,2210170,1,29.8120344,-95.7462707,2622 Elder Park Ct,home
162,156860,1,35.319801,-80.82337,7322 Fox Point Dr,home
163,90001001,1,33.765516,-84.206261,985 Brandon Ln,home
164,531607,3,30.30584,-81.580864,7152 Holiday Hill Ct,home
165,629593,2,39.802151,-83.041832,9232 Flintlock Pl,home
166,824214,1,35.372913,-80.798836,9519 Misty Arbor Way,home
167,153151,10,28.216299,-82.276281,4040 Constantine Loop,home
168,97342,5,36.155659,-115.276742,8415 Gering Ln,home
169,338022,12,34.9516862,-90.0874716,6256 Kingsview Drive,home
